epoch,train_loss,train_top1,train_top5,eval_loss,eval_top1,eval_top5
1,1.6675,51.0,,0.8469407856464386,68.97,98.71
2,1.0314,63.52,,0.6705721691250801,75.86,98.49
3,0.8957,68.47,,0.7024393603205681,76.94,98.28
4,0.8126,70.83,,0.7125775218009949,78.02,98.28
5,0.7396,73.13,,0.7484309002757072,70.69,98.49
6,0.6679,75.65,,0.5239616520702839,81.68,98.71
7,0.5746,79.03,,0.5430248789489269,82.76,98.92
8,0.5465,80.13,,0.39245891757309437,85.78,99.78
9,0.4999,81.43,,0.4888111241161823,81.47,98.71
10,0.4731,83.14,,0.4305286519229412,85.13,99.35
11,0.439,84.18,,0.5174256674945354,84.05,98.06
12,0.4128,85.5,,0.3330331966280937,89.01,99.78
13,0.4138,84.55,,0.6212821565568447,79.74,96.34
14,0.4047,85.34,,0.3438589032739401,88.36,99.57
15,0.3469,87.32,,0.4877077266573906,81.68,98.71
16,0.3349,87.85,,0.47407564520835876,86.21,98.71
17,0.3358,88.54,,0.5916094556450844,79.31,98.92
18,0.299,89.52,,0.4741147793829441,83.41,99.35
19,0.3088,88.78,,0.5535658970475197,81.03,98.92
20,0.3013,89.09,,0.37973183766007423,88.15,98.92
21,0.2749,89.88,,0.39544369652867317,86.42,99.35
22,0.2325,91.41,,0.294592784717679,90.52,99.35
23,0.2411,91.33,,0.2982480046339333,90.52,98.71
24,0.2286,91.69,,0.38775043934583664,89.44,98.92
25,0.2411,91.55,,0.3047002572566271,90.73,99.14
26,0.212,92.47,,0.3392741847783327,89.22,99.35
27,0.2148,92.41,,0.31215427815914154,89.22,99.14
28,0.1959,93.57,,0.3373246416449547,90.3,99.57
29,0.2094,92.47,,0.3969944780692458,88.15,98.92
30,0.1924,93.1,,0.3347343523055315,90.95,99.57
31,0.1855,93.63,,0.5715390145778656,81.47,99.14
32,0.1806,93.46,,0.3090372886508703,90.09,99.35
33,0.1675,94.63,,0.32963521033525467,90.09,98.49
34,0.1814,93.47,,0.35363537445664406,87.28,99.57
35,0.1755,93.85,,0.6035992652177811,85.13,99.14
36,0.1659,93.91,,0.31787758599966764,89.87,99.14
37,0.137,94.95,,0.37605063803493977,89.66,99.35
38,0.1525,94.56,,0.5178194846957922,86.42,98.71
39,0.1513,94.63,,0.493196215480566,84.05,99.57
40,0.1597,94.44,,0.5101404096931219,82.97,98.71
41,0.1363,95.05,,0.4271559687331319,89.01,99.35
42,0.14,95.44,,0.34478773921728134,89.66,98.92
43,0.1295,95.42,,0.4104760102927685,87.07,99.35
44,0.1369,95.15,,0.36961766704916954,87.5,98.92
45,0.127,95.42,,0.34024140052497387,87.72,99.14
46,0.1279,95.44,,0.6904279105365276,79.53,99.57
47,0.1202,95.97,,0.3563968501985073,89.44,98.92
48,0.1418,95.24,,0.3883103346452117,89.01,98.92
49,0.1476,95.05,,0.23108311742544174,92.67,99.57
50,0.1254,95.64,,0.47032930701971054,85.34,99.35
51,0.0526,98.49,,0.24825800210237503,93.75,99.57
52,0.0278,99.39,,0.21330119157209992,93.97,99.35
53,0.0241,99.45,,0.242801611777395,93.32,99.35
54,0.0178,99.59,,0.2262148787267506,93.75,99.35
55,0.015,99.69,,0.23611152754165232,93.53,99.35
56,0.0133,99.67,,0.2483821827918291,93.53,99.35
57,0.0154,99.67,,0.2335255704820156,94.4,99.35
58,0.0144,99.59,,0.2555275927297771,93.75,99.35
59,0.0127,99.71,,0.24420259078033268,94.18,99.35
60,0.0111,99.78,,0.2503361701965332,93.97,99.35
61,0.0092,99.8,,0.24878187477588654,94.18,99.35
62,0.013,99.8,,0.24603059515357018,93.97,99.35
63,0.0115,99.69,,0.23849911987781525,93.75,99.35
64,0.0073,99.88,,0.22710411809384823,93.75,99.35
65,0.0081,99.86,,0.26375014637596905,93.53,99.35
